World Port Index Number,Region Name,Main Port Name,Latitude,Longitude
585,Greenland  West Coast -- 545,Narsaq,60.916667,-46.05
430,Iceland  East Coast -- 360,Eskifjordhur,65.066667,-14.016667
670,Greenland  West Coast -- 545,Maniitsoq,65.416667,-52.916667
320,Iceland  North Coast -- 200,Husavik,66.033333,-17.333333
160,Iceland  West Coast -- 60,Bildudalur,65.683333,-23.6
70,Iceland  West Coast -- 60,Keflavik,64,-22.55
10050, ,Santa Lucia,22.66666667,-83.96666667
10962, ,Manzanillo,19.71666667,-71.75
9930, ,Freeport,32.31666667,-64.83333333
10190, ,Vita,21.1,-75.96666667
10030, ,Providenciales,21.73333333,-72.28333333
11410,Saint Kitts and Nevis -- 11392,Charlestown,17.133333,-62.633333
10370,Cuba South Coast -- 10310,Santiago De Cuba,20.016667,-75.833333
23950,Sweden -- 23860,Brofjorden,58.36027778,11.42111111
30230,Jylland -- 30020,Horsens,55.866667,9.85
24050,Sweden -- 23860,Halmstad,56.666667,12.866667
23600,Norway -- 20620,Arendal,58.45388889,8.776944444
24030,Sweden -- 23860,Varberg,57.10888889,12.2325
30285,Jylland -- 30020,Studstrup,56.25,10.35
10772,Jamaica South Coast -- 10730,Port Esquivel,17.883333,-77.133333
10320,Cuba South Coast -- 10310,Puerto Guantanamo,19.983333,-75.133333
23700,Norway -- 20620,Larvik,59.03805556,10.03111111
23750,Norway -- 20620,Horten,59.416667,10.5
30330,Jylland -- 30020,Randers,56.466667,10.05
11400,Saint Kitts and Nevis -- 11392,Basseterre,17.3,-62.716667
30260,Jylland -- 30020,Arhus,56.15,10.216667
47720,Mauritius -- 47710,Port Louis,-20.15,57.5
10260,Cuba North Coast -- 10030,Nicaro,20.716667,-75.55
23830,Norway -- 20620,Moss,59.44055556,10.65527778
23780,Norway -- 20620,Drammen,59.733333,10.25
23990,Sweden -- 23860,Uddevalla,58.33472222,11.8775
10025,Turks and Caicos Is -- 10016,Cockburn Harbor,21.5,-71.533333
23710,Norway -- 20620,Sandefjorden,59.10055556,10.23305556
53655,Australia -- 53290,Botany Bay,-34,151.233333
11010,Dominican Republic -- 10950,Sanchez,19.233333,-69.616667
53405,Australia -- 53290,Hay Point,-21.283333,149.3
9960,Bermuda Islands -- 9930,Hamilton,32.3,-64.783333
23620,Norway -- 20620,Tvedestrand,58.61166667,8.9425
11000,Dominican Republic -- 10950,Santa Barbara De Samana,19.2,-69.333333
10160,Cuba North Coast -- 10030,Puerto Padre,21.283333,-76.533333
30380,Jylland -- 30020,Hals,56.983333,10.316667
23720,Norway -- 20620,Tonsberg,59.26222222,10.41
10280,Cuba North Coast -- 10030,Cayo Moa Grande,20.666667,-74.9
10630,Jamaica North Coast -- 10590,Rio Bueno,18.466667,-77.466667
10020,Turks and Caicos Is -- 10016,Grand Turk,21.433333,-71.15
30450,Jylland -- 30020,Hirtshals,57.6,9.966667
30455,Jylland -- 30020,Hanstholm,57.133333,8.6
30430,Jylland -- 30020,Frederikshavn,57.433333,10.55
23760,Norway -- 20620,Holmestrand,59.49055556,10.32666667
11035,Dominican Republic -- 10950,Andres (Andres Lng Terminal),18.433333,-69.633333
10585,Cayman Islands -- 10575,Cayman Brac,19.75,-79.75
11620,Saint Lucia -- 11615,Vieux Fort,13.716667,-60.966667
23810,Norway -- 20620,Oslo,59.89805556,10.74555556
10120,Cuba North Coast -- 10030,Cardenas,23.05,-81.2
10610,Jamaica North Coast -- 10590,Montego Bay,18.466667,-77.933333
23630,Norway -- 20620,Risor,58.72194444,9.245277778
11390,Saint Eustatius -- 11385,Oranjestad,17.483333,-62.983333
10550,Cuba South Coast -- 10310,Nueva Gerona,21.916667,-82.8
53690,Australia -- 53290,Port Kembla,-34.483333,150.916667
11075,Dominican Republic -- 10950,Cabo Rojo,17.916667,-71.65
11690,Barbados -- 11675,Bridgetown,13.1,-59.633333
10775,Jamaica South Coast -- 10730,Port Kaiser,17.866667,-77.6
10130,Cuba North Coast -- 10030,Isabela De Sagua,22.95,-80
10710,Jamaica North Coast -- 10590,Port Antonio,18.183333,-76.45
10860,Haiti -- 10810,Miragoane,18.45,-73.083333
30400,Jylland -- 30020,Alborg,57.05,9.933333
10230,Cuba North Coast -- 10030,Antilla,20.833333,-75.733333
23817,Norway -- 20620,Fagerstrand,59.73305556,10.58472222
24040,Sweden -- 23860,Falkenberg,56.88166667,12.46611111
23640,Norway -- 20620,Kragero,58.86361111,9.413055556
23970,Sweden -- 23860,Lysekil,58.27138889,11.44416667
11380,St Barthelemy -- 11375,Gustavia,17.9,-62.85
30290,Jylland -- 30020,Grenaa Havn,56.416667,10.933333
23550,Norway -- 20620,Kristiansand,58.13888889,8.012777778
10110,Cuba North Coast -- 10030,Matanzas,23.05,-81.55
10600,Jamaica North Coast -- 10590,Lucea,18.45,-78.166667
54030,Australia -- 53290,Melbourne,-37.833333,144.966667
53490,Australia -- 53290,Brisbane,-27.466667,153.033333
11040,Dominican Republic -- 10950,Santo Domingo,18.466667,-69.883333
10980,Dominican Republic -- 10950,Puerto Plata,19.8,-70.7
54140,Australia -- 53290,Portland,-38.333333,141.6
10250,Cuba North Coast -- 10030,Felton,20.733333,-75.6
23850,Norway -- 20620,Halden,59.116667,11.383333
10158,Cuba North Coast -- 10030,Manati,21.366667,-76.816667
11070,Dominican Republic -- 10950,Santa Cruz De Barahona,18.2,-71.083333
23870,Sweden -- 23860,Stromstad,58.933333,11.166667
10100,Cuba North Coast -- 10030,Bahai De La Habana,23.133333,-82.366667
30440,Jylland -- 30020,Skagen Havn,57.716667,10.6
23530,Norway -- 20620,Mandal,58.016667,7.466667
23823,Norway -- 20620,Tofte,59.54416667,10.57055556
54050,Australia -- 53290,Geelong,-38.15,144.366667
10270,Cuba North Coast -- 10030,Bahia De Sagua De Tanamo,20.683333,-75.333333
10770,Jamaica South Coast -- 10730,Kingston,17.966667,-76.783333
53450,Australia -- 53290,Gladstone,-23.85,151.25
10930,Haiti -- 10810,Cap Haitien,19.766667,-72.2
10150,Cuba North Coast -- 10030,Nuevitas Bay,21.55,-77.266667
9985,Bahama Islands -- 9980,Freeport,26.516667,-78.783333
10820,Haiti -- 10810,Jacmel,18.233333,-72.533333
11370,St Martin -- 11355,Philipsburg,18.016667,-63.05
